Yt-1 	 Yt 	 Transition Probability 
 , 	 , 	 0.02234244651854299 
 L 	 D 	 0.03243954991620781 
 D 	 R 	 0.010091513100162968 
 & 	 $ 	 0.009813423794523867 
 N 	 $ 	 0.005583493566040526 
 @ 	 V 	 0.0445053317535545 
 V 	 L 	 0.007515984219834036 
 L 	 T 	 0.00371079722288724 
 & 	 L 	 0.017082626605282286 
 T 	 V 	 0.010389230318993269 
 O 	 N 	 0.012997412837255144 
 & 	 N 	 0.05100557305548825 
 , 	 # 	 0.01945155695052449 
 ~ 	 $ 	 0.003791381542444978 
 U 	 @ 	 0.07220086496876502 
 $ 	 & 	 0.002633559066967645 
 L 	 A 	 0.04800095762508978 
 @ 	 L 	 0.017846563981042653 
 ^ 	 Z 	 0.006518652381567057 
 Z 	 , 	 0.005062050947093403 
 ^ 	 R 	 0.012327352523557506 
 Z 	 ^ 	 0.009960809928151534 
 @ 	 D 	 0.010441350710900472 
 R 	 E 	 0.006281991624011167 
 , 	 Z 	 0.0016932353184108365 
 ^ 	 ~ 	 0.003937007874015748 
 U 	 O 	 0.015737626141278233 
 , 	 E 	 0.021516478070537706 
 E 	 V 	 0.017717067892886122 
 G 	 ! 	 0.0042096686583378605 
 $ 	 A 	 0.018936543767243543 
 @ 	 N 	 0.024511255924170614 
 E 	 A 	 0.002840140654584799 
 G 	 U 	 0.017789244975556763 
 & 	 ! 	 0.003755754785558517 
 ^ 	 E 	 0.0032915967471279202 
 E 	 ~ 	 0.025831755477414124 
 ~ 	 D 	 0.010264471980765673 
 D 	 S 	 0.003823492541055534 
 S 	 N 	 0.020425388251181634 
 P 	 P 	 0.01401675804282611 
 ~ 	 L 	 0.008415017569816902 
 A 	 O 	 0.008874871644418365 
 E 	 L 	 0.008249932377603462 
 G 	 A 	 0.009641499185225421 
 A 	 V 	 0.011808713510341793 
 P 	 A 	 0.02280955829109341 
 ~ 	 ^ 	 0.023210652857407064 
 A 	 ~ 	 0.008141411177937508 
 ~ 	 & 	 0.0010171999260218236 
 & 	 O 	 0.04858250545190211 
 E 	 , 	 0.010954828239112794 
 , 	 S 	 0.0004542826464029074 
 S 	 A 	 0.0035449020931802838 
 $ 	 M 	 0.001379483320792576 
 M 	 A 	 0.00190179806362379 
 O 	 A 	 0.01546137735616607 
 O 	 & 	 0.011149439448071948 
 & 	 P 	 0.006178822389144657 
 $ 	 G 	 0.002633559066967645 
 ^ 	 A 	 0.00845488576223054 
 G 	 $ 	 0.0069255839217816405 
 V 	 G 	 0.002074547680587675 
 U 	 # 	 0.022945699183085057 
 $ 	 ^ 	 0.017682468021068473 
 A 	 ^ 	 0.020610239108112074 
 N 	 ^ 	 0.009281171424345511 
 ^ 	 & 	 0.0168452304117723 
 & 	 A 	 0.02314029561424764 
 A 	 U 	 0.0022737274460906554 
 D 	 , 	 0.014479127491538173 
 V 	 & 	 0.007856074003536934 
 D 	 O 	 0.004450294596966277 
 @ 	 U 	 0.010441350710900472 
 U 	 V 	 0.03015377222489188 
 R 	 ! 	 0.005506437102528307 
 ! 	 L 	 0.013226978998384492 
 V 	 E 	 0.002074547680587675 
 R 	 N 	 0.007833100666976888 
 P 	 L 	 0.013499534498810386 
 & 	 D 	 0.02798643082141992 
 G 	 ~ 	 0.03815860945138512 
 A 	 D 	 0.005941029778494938 
 U 	 P 	 0.018140317155213838 
 A 	 & 	 0.01914331817515036 
 P 	 S 	 0.0010861694424330196 
 # 	 ! 	 0.012224610424502956 
 E 	 O 	 0.02312685961590479 
 O 	 E 	 0.00560551928052236 
 $ 	 S 	 0.001379483320792576 
 L 	 P 	 0.028848455829542735 
 ! 	 ^ 	 0.02130452342487884 
 # 	 N 	 0.008194519075765717 
 A 	 $ 	 0.011808713510341793 
 # 	 , 	 0.02028479312197743 
 ! 	 ~ 	 0.015246365105008078 
 # 	 V 	 0.005507791509940891 
 A 	 R 	 0.012542173976822649 
 N 	 T 	 0.0022555834935660403 
 R 	 L 	 0.009384209709942607 
 A 	 T 	 0.0008068065131289424 
 R 	 ^ 	 0.008608655188459748 
 @ 	 # 	 0.007479265402843601 
 # 	 @ 	 0.02834497581945191 
 U 	 ^ 	 0.014536280634310427 
 ~ 	 ! 	 0.01673756241908637 
 V 	 ~ 	 0.0044551761665079575 
 ~ 	 R 	 0.009339744775291288 
 A 	 E 	 0.001540266979609799 
 ^ 	 $ 	 0.0168452304117723 
 $ 	 @ 	 0.005141710559317783 
 ^ 	 @ 	 0.004582419000903575 
 E 	 R 	 0.009602380308358128 
 O 	 O 	 0.014845386226438339 
 # 	 G 	 0.006851155292853304 
 O 	 G 	 0.0025255636318837005 
 G 	 G 	 0.023221075502444326 
 T 	 P 	 0.03672812408545508 
 @ 	 ^ 	 0.017106042654028437 
 U 	 D 	 0.007328207592503604 
 T 	 ^ 	 0.011852502194907813 
 $ 	 U 	 0.001379483320792576 
 U 	 R 	 0.0061268620855358 
 # 	 D 	 0.004164427727028479 
 V 	 U 	 0.0017344578968847774 
 ~ 	 E 	 0.003791381542444978 
 A 	 L 	 0.004474108845533225 
 ! 	 D 	 0.02231421647819063 
 R 	 ~ 	 0.0016286644951140064 
 # 	 U 	 0.005507791509940891 
 $ 	 ~ 	 0.005141710559317783 
 @ 	 R 	 0.02303021327014218 
 @ 	 G 	 0.0052577014218009475 
 # 	 ^ 	 0.006851155292853304 
 E 	 E 	 0.024479307546659456 
 @ 	 & 	 0.007479265402843601 
 T 	 D 	 0.029411764705882356 
 D 	 @ 	 0.0025698884292340474 
 Z 	 V 	 0.005062050947093403 
 ^ 	 O 	 0.005227830127791403 
 ^ 	 T 	 0.0013553633664644378 
 T 	 E 	 0.0016095990635059997 
 & 	 ^ 	 0.02314029561424764 
 ^ 	 D 	 0.0026461856202400925 
 $ 	 $ 	 0.005141710559317783 
 U 	 N 	 0.01213358962037482 
 U 	 A 	 0.008529553099471407 
 T 	 @ 	 0.0016095990635059997 
 ! 	 # 	 0.004139741518578352 
 ^ 	 S 	 0.0013553633664644378 
 # 	 O 	 0.012224610424502956 
 U 	 & 	 0.0061268620855358 
 D 	 G 	 0.004450294596966277 
 O 	 T 	 0.006837501539977824 
 T 	 & 	 0.0016095990635059997 
 O 	 $ 	 0.0006775902427005051 
 ^ 	 G 	 0.009745708016006195 
 @ 	 S 	 0.0015550947867298578 
 U 	 U 	 0.004925516578567996 
 U 	 E 	 0.0025228255646323884 
 ! 	 G 	 0.004139741518578352 
 # 	 R 	 0.004164427727028479 
 R 	 G 	 0.003955328059562587 
 G 	 R 	 0.0028517110266159697 
 $ 	 ! 	 0.0038876348131427142 
 R 	 $ 	 0.0024042190165968667 
 L 	 $ 	 0.00371079722288724 
 P 	 ~ 	 0.00263784007448019 
 ! 	 $ 	 0.0011106623586429726 
 E 	 U 	 0.006897484446848796 
 D 	 T 	 0.0019430863733233045 
 T 	 O 	 0.004536142815335089 
 T 	 G 	 0.0030728709394205445 
 D 	 # 	 0.0006894822615018178 
 # 	 X 	 0.0014777001612036541 
 A 	 G 	 0.003007187912571512 
 G 	 O 	 0.010999456816947311 
 $ 	 V 	 0.00890393779784299 
 # 	 E 	 0.004164427727028479 
 Z 	 G 	 0.0017962116263879819 
 & 	 G 	 0.0013326871819723772 
 V 	 # 	 0.0007141885457760848 
 G 	 P 	 0.0042096686583378605 
 E 	 G 	 0.004192588585339465 
 R 	 @ 	 0.0024042190165968667 
 $ 	 O 	 0.00764986205166792 
 O 	 @ 	 0.0031415547616114323 
 E 	 D 	 0.004192588585339465 
 ^ 	 L 	 0.002000774493352265 
 E 	 ^ 	 0.008249932377603462 
 O 	 U 	 0.001293581372428237 
 @ 	 $ 	 0.0037766587677725114 
 E 	 # 	 0.004192588585339465 
 & 	 @ 	 0.004967288587351587 
 U 	 G 	 0.0025228255646323884 
 L 	 O 	 0.00610485994733062 
 , 	 X 	 0.0012802510944081935 
 X 	 D 	 0.013627187079407806 
 & 	 U 	 0.0013326871819723772 
 P 	 # 	 0.0010861694424330196 
 # 	 P 	 0.005507791509940891 
 O 	 L 	 0.001909572502155969 
 O 	 ! 	 0.003757545891339164 
 E 	 N 	 0.009602380308358128 
 T 	 A 	 0.0016095990635059997 
 P 	 ! 	 0.0010861694424330196 
 # 	 L 	 0.002821063944116067 
 N 	 L 	 0.004474190208549031 
 D 	 L 	 0.0013162843174125611 
 ! 	 U 	 0.004139741518578352 
 P 	 X 	 0.0031550636184959134 
 G 	 E 	 0.0028517110266159697 
 # 	 A 	 0.0014777001612036541 
 G 	 # 	 0.0014937533948940795 
 G 	 D 	 0.00556762629005975 
 N 	 X 	 0.0004067445644135483 
 O 	 X 	 0.0006775902427005051 
 D 	 U 	 0.0013162843174125611 
 ^ 	 # 	 0.002000774493352265 
 V 	 X 	 0.00037409876207318733 
 E 	 P 	 0.002840140654584799 
 R 	 # 	 0.0016286644951140064 
 , 	 M 	 0.0004542826464029074 
 M 	 V 	 0.00190179806362379 
 A 	 # 	 0.0008068065131289424 
 S 	 ^ 	 0.0018568534773801488 
 @ 	 X 	 0.0015550947867298578 
 L 	 , 	 0.0013167344984438593 
 D 	 & 	 0.0006894822615018178 
 S 	 , 	 0.0018568534773801488 
 X 	 , 	 0.001850605652759085 
 D 	 E 	 0.0013162843174125611 
 ~ 	 G 	 0.0010171999260218236 
 , 	 Y 	 0.0004542826464029074 
 Y 	 D 	 0.0019050917907862835 
 P 	 & 	 0.0010861694424330196 
 N 	 S 	 0.0004067445644135483 
 L 	 ^ 	 0.0025137658606655495 
 D 	 Z 	 0.0006894822615018178 
 E 	 & 	 0.002840140654584799 
 D 	 ! 	 0.0013162843174125611 
 R 	 Z 	 0.0008531099736311463 
 & 	 , 	 0.0025442209837654474 
 # 	 & 	 0.0014777001612036541 
 L 	 G 	 0.0013167344984438593 
 N 	 Z 	 0.0004067445644135483 
 ~ 	 Z 	 0.0010171999260218236 
 P 	 E 	 0.000568945898417296 
 O 	 # 	 0.0006775902427005051 
 V 	 S 	 0.00037409876207318733 
 ~ 	 Unseen 	 9.24727205474385e-05 
 @ 	 Unseen 	 7.40521327014218e-05 
 O 	 Unseen 	 6.159911297277319e-05 
 V 	 Unseen 	 3.4008978370289756e-05 
 ^ 	 Unseen 	 6.454111268878275e-05 
 , 	 Unseen 	 4.129842240026431e-05 
 $ 	 Unseen 	 0.0001254075746175069 
 R 	 Unseen 	 7.755545214828603e-05 
 A 	 Unseen 	 7.334604664808566e-05 
 ! 	 Unseen 	 0.00010096930533117933 
 P 	 Unseen 	 5.172235440157236e-05 
 T 	 Unseen 	 0.0001463271875914545 
 N 	 Unseen 	 3.6976778583049845e-05 
 & 	 Unseen 	 0.00012115338017930702 
 D 	 Unseen 	 6.268020559107433e-05 
 # 	 Unseen 	 0.00013433637829124128 
 G 	 Unseen 	 0.00013579576317218904 
 U 	 Unseen 	 0.0001201345506967804 
 L 	 Unseen 	 0.00011970313622216903 
 E 	 Unseen 	 0.0001352447930754666 
 X 	 Unseen 	 0.0001682368775235532 
 Z 	 Unseen 	 0.00016329196603527107 
 S 	 Unseen 	 0.00016880486158001352 
 M 	 Unseen 	 0.00017289073305670817 
 Y 	 Unseen 	 0.00017319016279875303 
 
