t 		 t+1 	 prob 
 START 	 ~ 	 0.143271409152696 
 ! 	 , 	 0.3242918867018722 
 ! 	 R 	 0.021843494959193462 
 ! 	 STOP 	 0.1730676908305328 
 ! 	 E 	 0.029044647143542955 
 ! 	 P 	 0.031445031204992785 
 ! 	 O 	 0.09145463274123858 
 ! 	 ! 	 0.08425348055688908 
 ! 	 A 	 0.019443110897743632 
 ! 	 V 	 0.04104656745079212 
 ! 	 N 	 0.03624579932789245 
 ! 	 L 	 0.029044647143542955 
 ! 	 ^ 	 0.03624579932789245 
 ! 	 # 	 0.005040806529044645 
 ! 	 G 	 0.0074411905904944765 
 ! 	 ~ 	 0.012241958713394138 
 ! 	 D 	 0.04104656745079212 
 ! 	 @ 	 0.0074411905904944765 
 ! 	 U 	 0.0074411905904944765 
 ! 	 & 	 0.00024003840614498313 
 ! 	 S 	 0.00024003840614498313 
 ! 	 $ 	 0.00024003840614498313 
 ! 	 X 	 0.00024003840614498313 
 ! 	 T 	 0.00024003840614498313 
 ! 	 M 	 0.00024003840614498313 
 ! 	 Z 	 0.00024003840614498313 
 ! 	 Y 	 0.00024003840614498313 
 P 	 O 	 0.12805236834363043 
 P 	 V 	 0.1530597234480729 
 P 	 N 	 0.12363930567814058 
 P 	 $ 	 0.03464254192409531 
 P 	 , 	 0.02655192703736392 
 P 	 ^ 	 0.13908502500735506 
 P 	 D 	 0.24352750809061482 
 P 	 R 	 0.017725801706384225 
 P 	 U 	 0.001544571932921447 
 P 	 Z 	 0.008164165931156219 
 P 	 G 	 0.0066931450426596035 
 P 	 @ 	 0.02655192703736392 
 P 	 STOP 	 0.003751103265666371 
 P 	 P 	 0.01993233303912915 
 P 	 A 	 0.03243601059135039 
 P 	 L 	 0.01919682259488084 
 P 	 S 	 0.001544571932921447 
 P 	 ~ 	 0.003751103265666371 
 P 	 # 	 0.001544571932921447 
 P 	 ! 	 0.001544571932921447 
 P 	 X 	 0.0044866137099146795 
 P 	 & 	 0.001544571932921447 
 P 	 E 	 0.0008090614886731389 
 P 	 T 	 7.355104442483081e-05 
 P 	 M 	 7.355104442483081e-05 
 P 	 Y 	 7.355104442483081e-05 
 T 	 N 	 0.0739051094890511 
 T 	 R 	 0.06478102189781021 
 T 	 , 	 0.21076642335766424 
 T 	 V 	 0.05565693430656934 
 T 	 P 	 0.22901459854014602 
 T 	 ^ 	 0.05565693430656934 
 T 	 D 	 0.18339416058394165 
 T 	 E 	 0.010036496350364963 
 T 	 @ 	 0.010036496350364963 
 T 	 & 	 0.010036496350364963 
 T 	 O 	 0.02828467153284672 
 T 	 G 	 0.01916058394160584 
 T 	 A 	 0.010036496350364963 
 T 	 STOP 	 0.02828467153284672 
 T 	 L 	 0.0009124087591240876 
 T 	 ~ 	 0.0009124087591240876 
 T 	 S 	 0.0009124087591240876 
 T 	 $ 	 0.0009124087591240876 
 T 	 X 	 0.0009124087591240876 
 T 	 T 	 0.0009124087591240876 
 T 	 M 	 0.0009124087591240876 
 T 	 Z 	 0.0009124087591240876 
 T 	 ! 	 0.0009124087591240876 
 T 	 U 	 0.0009124087591240876 
 T 	 Y 	 0.0009124087591240876 
 T 	 # 	 0.0009124087591240876 
 N 	 & 	 0.034778935511123626 
 N 	 , 	 0.2976156951093589 
 N 	 V 	 0.11081385525204168 
 N 	 N 	 0.13850558528114149 
 N 	 STOP 	 0.03712569229325073 
 N 	 ~ 	 0.005209800056322164 
 N 	 P 	 0.197174504834319 
 N 	 A 	 0.014127475828405147 
 N 	 O 	 0.02492255702618981 
 N 	 U 	 0.01694358396695767 
 N 	 @ 	 0.009433962264150945 
 N 	 D 	 0.011311367689852626 
 N 	 G 	 0.012719421759128886 
 N 	 E 	 0.013658124471979725 
 N 	 ! 	 0.011780719046278046 
 N 	 R 	 0.03430958415469821 
 N 	 $ 	 0.006148502769173003 
 N 	 ^ 	 0.011311367689852626 
 N 	 T 	 0.0028630432741950625 
 N 	 # 	 0.003801745987045903 
 N 	 L 	 0.004740448699896743 
 N 	 Z 	 0.0005162864920679621 
 N 	 S 	 4.6935135642542016e-05 
 N 	 X 	 4.6935135642542016e-05 
 N 	 M 	 4.6935135642542016e-05 
 N 	 Y 	 4.6935135642542016e-05 
 & 	 V 	 0.20707472178060402 
 & 	 R 	 0.06399046104928455 
 & 	 $ 	 0.03219395866454688 
 & 	 L 	 0.056041335453100125 
 & 	 N 	 0.16732909379968194 
 & 	 ! 	 0.012321144674085844 
 & 	 O 	 0.15937996820349754 
 & 	 P 	 0.020270270270270258 
 & 	 A 	 0.07591414944356117 
 & 	 D 	 0.09181240063592999 
 & 	 ^ 	 0.07591414944356117 
 & 	 G 	 0.004372019077901429 
 & 	 @ 	 0.01629570747217805 
 & 	 U 	 0.004372019077901429 
 & 	 , 	 0.008346581875993636 
 & 	 ~ 	 0.00039745627980922074 
 & 	 & 	 0.00039745627980922074 
 & 	 S 	 0.00039745627980922074 
 & 	 X 	 0.00039745627980922074 
 & 	 E 	 0.00039745627980922074 
 & 	 T 	 0.00039745627980922074 
 & 	 M 	 0.00039745627980922074 
 & 	 Z 	 0.00039745627980922074 
 & 	 Y 	 0.00039745627980922074 
 & 	 # 	 0.00039745627980922074 
 & 	 STOP 	 0.00039745627980922074 
 D 	 N 	 0.583496476115897 
 D 	 P 	 0.012823022709475338 
 D 	 $ 	 0.013801879404855135 
 D 	 D 	 0.008907595927956152 
 D 	 V 	 0.02848472983555209 
 D 	 ^ 	 0.0881949882537197 
 D 	 ~ 	 0.00303445575567737 
 D 	 A 	 0.18314408770555998 
 D 	 R 	 0.01575959279561473 
 D 	 S 	 0.005971025841816761 
 D 	 , 	 0.02261158966327331 
 D 	 O 	 0.005971025841816761 
 D 	 STOP 	 0.004013312451057167 
 D 	 @ 	 0.00303445575567737 
 D 	 G 	 0.006949882537196557 
 D 	 T 	 0.00303445575567737 
 D 	 # 	 0.0010767423649177767 
 D 	 L 	 0.0020555990602975733 
 D 	 U 	 0.0020555990602975733 
 D 	 & 	 0.0010767423649177767 
 D 	 E 	 0.0020555990602975733 
 D 	 Z 	 0.0010767423649177767 
 D 	 ! 	 0.0010767423649177767 
 D 	 X 	 9.78856695379797e-05 
 D 	 M 	 9.78856695379797e-05 
 D 	 Y 	 9.78856695379797e-05 
 # 	 # 	 0.2936694021101993 
 # 	 $ 	 0.012309495896834702 
 # 	 ~ 	 0.029894490035169988 
 # 	 STOP 	 0.399179366940211 
 # 	 N 	 0.018171160609613133 
 # 	 , 	 0.08851113716295429 
 # 	 G 	 0.02403282532239156 
 # 	 U 	 0.02403282532239156 
 # 	 ^ 	 0.018171160609613133 
 # 	 V 	 0.012309495896834702 
 # 	 E 	 0.012309495896834702 
 # 	 O 	 0.012309495896834702 
 # 	 P 	 0.018171160609613133 
 # 	 ! 	 0.012309495896834702 
 # 	 D 	 0.006447831184056273 
 # 	 R 	 0.006447831184056273 
 # 	 @ 	 0.006447831184056273 
 # 	 L 	 0.000586166471277843 
 # 	 & 	 0.000586166471277843 
 # 	 S 	 0.000586166471277843 
 # 	 A 	 0.000586166471277843 
 # 	 X 	 0.000586166471277843 
 # 	 T 	 0.000586166471277843 
 # 	 M 	 0.000586166471277843 
 # 	 Z 	 0.000586166471277843 
 # 	 Y 	 0.000586166471277843 
 G 	 N 	 0.06826568265682657 
 G 	 V 	 0.06826568265682657 
 G 	 , 	 0.10516605166051661 
 G 	 STOP 	 0.11131611316113163 
 G 	 @ 	 0.03136531365313654 
 G 	 ^ 	 0.07441574415744158 
 G 	 ! 	 0.01906519065190652 
 G 	 U 	 0.08056580565805659 
 G 	 A 	 0.04366543665436654 
 G 	 $ 	 0.03136531365313654 
 G 	 ~ 	 0.14821648216482167 
 G 	 G 	 0.10516605166051661 
 G 	 R 	 0.012915129151291513 
 G 	 O 	 0.04366543665436654 
 G 	 P 	 0.01906519065190652 
 G 	 E 	 0.006765067650676508 
 G 	 D 	 0.025215252152521524 
 G 	 L 	 0.0006150061500615006 
 G 	 & 	 0.0006150061500615006 
 G 	 S 	 0.0006150061500615006 
 G 	 X 	 0.0006150061500615006 
 G 	 T 	 0.0006150061500615006 
 G 	 M 	 0.0006150061500615006 
 G 	 Z 	 0.0006150061500615006 
 G 	 Y 	 0.0006150061500615006 
 G 	 # 	 0.0006150061500615006 
 U 	 STOP 	 0.7041763341067284 
 U 	 $ 	 0.008120649651972157 
 U 	 ~ 	 0.04292343387470997 
 U 	 , 	 0.039056457849961326 
 U 	 # 	 0.058391337973704556 
 U 	 @ 	 0.008120649651972157 
 U 	 V 	 0.027455529775715387 
 U 	 P 	 0.04292343387470997 
 U 	 ! 	 0.008120649651972157 
 U 	 & 	 0.015854601701469448 
 U 	 U 	 0.015854601701469448 
 U 	 G 	 0.008120649651972157 
 U 	 R 	 0.0042536736272235105 
 U 	 O 	 0.0042536736272235105 
 U 	 ^ 	 0.0042536736272235105 
 U 	 A 	 0.0042536736272235105 
 U 	 L 	 0.0003866976024748646 
 U 	 S 	 0.0003866976024748646 
 U 	 N 	 0.0003866976024748646 
 U 	 X 	 0.0003866976024748646 
 U 	 E 	 0.0003866976024748646 
 U 	 T 	 0.0003866976024748646 
 U 	 M 	 0.0003866976024748646 
 U 	 D 	 0.0003866976024748646 
 U 	 Z 	 0.0003866976024748646 
 U 	 Y 	 0.0003866976024748646 
 L 	 N 	 0.03860856269113153 
 L 	 R 	 0.19533639143730905 
 L 	 V 	 0.35206422018348654 
 L 	 D 	 0.10359327217125393 
 L 	 T 	 0.011850152905198787 
 L 	 A 	 0.15328746177370045 
 L 	 P 	 0.09212538226299703 
 L 	 $ 	 0.011850152905198787 
 L 	 O 	 0.019495412844036712 
 L 	 , 	 0.00420489296636086 
 L 	 ^ 	 0.008027522935779824 
 L 	 G 	 0.00420489296636086 
 L 	 @ 	 0.0003822629969418964 
 L 	 L 	 0.0003822629969418964 
 L 	 ~ 	 0.0003822629969418964 
 L 	 & 	 0.0003822629969418964 
 L 	 S 	 0.0003822629969418964 
 L 	 X 	 0.0003822629969418964 
 L 	 E 	 0.0003822629969418964 
 L 	 M 	 0.0003822629969418964 
 L 	 Z 	 0.0003822629969418964 
 L 	 ! 	 0.0003822629969418964 
 L 	 U 	 0.0003822629969418964 
 L 	 Y 	 0.0003822629969418964 
 L 	 # 	 0.0003822629969418964 
 L 	 STOP 	 0.0003822629969418964 
 E 	 STOP 	 0.5561594202898554 
 E 	 ! 	 0.048913043478260906 
 E 	 , 	 0.04287439613526573 
 E 	 O 	 0.04287439613526573 
 E 	 ~ 	 0.036835748792270556 
 E 	 E 	 0.10929951690821264 
 E 	 L 	 0.018719806763285038 
 E 	 U 	 0.030797101449275385 
 E 	 R 	 0.018719806763285038 
 E 	 # 	 0.012681159420289866 
 E 	 N 	 0.012681159420289866 
 E 	 V 	 0.030797101449275385 
 E 	 P 	 0.006642512077294691 
 E 	 G 	 0.012681159420289866 
 E 	 D 	 0.006642512077294691 
 E 	 & 	 0.006642512077294691 
 E 	 @ 	 0.0006038647342995174 
 E 	 S 	 0.0006038647342995174 
 E 	 A 	 0.0006038647342995174 
 E 	 $ 	 0.0006038647342995174 
 E 	 X 	 0.0006038647342995174 
 E 	 T 	 0.0006038647342995174 
 E 	 M 	 0.0006038647342995174 
 E 	 Z 	 0.0006038647342995174 
 E 	 ^ 	 0.0006038647342995174 
 E 	 Y 	 0.0006038647342995174 
 X 	 V 	 0.4417475728155345 
 X 	 D 	 0.3932038834951461 
 X 	 , 	 0.05339805825242726 
 X 	 @ 	 0.004854368932038842 
 X 	 L 	 0.004854368932038842 
 X 	 ~ 	 0.004854368932038842 
 X 	 & 	 0.004854368932038842 
 X 	 S 	 0.004854368932038842 
 X 	 N 	 0.004854368932038842 
 X 	 A 	 0.004854368932038842 
 X 	 G 	 0.004854368932038842 
 X 	 $ 	 0.004854368932038842 
 X 	 R 	 0.004854368932038842 
 X 	 X 	 0.004854368932038842 
 X 	 E 	 0.004854368932038842 
 X 	 T 	 0.004854368932038842 
 X 	 M 	 0.004854368932038842 
 X 	 O 	 0.004854368932038842 
 X 	 Z 	 0.004854368932038842 
 X 	 ! 	 0.004854368932038842 
 X 	 ^ 	 0.004854368932038842 
 X 	 U 	 0.004854368932038842 
 X 	 P 	 0.004854368932038842 
 X 	 Y 	 0.004854368932038842 
 X 	 # 	 0.004854368932038842 
 X 	 STOP 	 0.004854368932038842 
 Z 	 N 	 0.39119170984455987 
 Z 	 A 	 0.20984455958549236 
 Z 	 , 	 0.08031088082901561 
 Z 	 ^ 	 0.15803108808290167 
 Z 	 V 	 0.08031088082901561 
 Z 	 G 	 0.028497409326424892 
 Z 	 @ 	 0.002590673575129536 
 Z 	 L 	 0.002590673575129536 
 Z 	 ~ 	 0.002590673575129536 
 Z 	 & 	 0.002590673575129536 
 Z 	 S 	 0.002590673575129536 
 Z 	 $ 	 0.002590673575129536 
 Z 	 R 	 0.002590673575129536 
 Z 	 X 	 0.002590673575129536 
 Z 	 E 	 0.002590673575129536 
 Z 	 T 	 0.002590673575129536 
 Z 	 M 	 0.002590673575129536 
 Z 	 D 	 0.002590673575129536 
 Z 	 O 	 0.002590673575129536 
 Z 	 Z 	 0.002590673575129536 
 Z 	 ! 	 0.002590673575129536 
 Z 	 U 	 0.002590673575129536 
 Z 	 P 	 0.002590673575129536 
 Z 	 Y 	 0.002590673575129536 
 Z 	 # 	 0.002590673575129536 
 Z 	 STOP 	 0.002590673575129536 
 S 	 N 	 0.6505376344086016 
 S 	 A 	 0.11290322580645153 
 S 	 ^ 	 0.05913978494623651 
 S 	 , 	 0.05913978494623651 
 S 	 @ 	 0.0053763440860215015 
 S 	 L 	 0.0053763440860215015 
 S 	 ~ 	 0.0053763440860215015 
 S 	 & 	 0.0053763440860215015 
 S 	 S 	 0.0053763440860215015 
 S 	 G 	 0.0053763440860215015 
 S 	 $ 	 0.0053763440860215015 
 S 	 V 	 0.0053763440860215015 
 S 	 R 	 0.0053763440860215015 
 S 	 X 	 0.0053763440860215015 
 S 	 E 	 0.0053763440860215015 
 S 	 T 	 0.0053763440860215015 
 S 	 M 	 0.0053763440860215015 
 S 	 D 	 0.0053763440860215015 
 S 	 O 	 0.0053763440860215015 
 S 	 Z 	 0.0053763440860215015 
 S 	 ! 	 0.0053763440860215015 
 S 	 U 	 0.0053763440860215015 
 S 	 P 	 0.0053763440860215015 
 S 	 Y 	 0.0053763440860215015 
 S 	 # 	 0.0053763440860215015 
 S 	 STOP 	 0.0053763440860215015 
 M 	 A 	 0.23913043478260876 
 M 	 V 	 0.23913043478260876 
 M 	 @ 	 0.02173913043478261 
 M 	 , 	 0.02173913043478261 
 M 	 L 	 0.02173913043478261 
 M 	 ~ 	 0.02173913043478261 
 M 	 & 	 0.02173913043478261 
 M 	 S 	 0.02173913043478261 
 M 	 N 	 0.02173913043478261 
 M 	 G 	 0.02173913043478261 
 M 	 $ 	 0.02173913043478261 
 M 	 R 	 0.02173913043478261 
 M 	 X 	 0.02173913043478261 
 M 	 E 	 0.02173913043478261 
 M 	 T 	 0.02173913043478261 
 M 	 M 	 0.02173913043478261 
 M 	 D 	 0.02173913043478261 
 M 	 O 	 0.02173913043478261 
 M 	 Z 	 0.02173913043478261 
 M 	 ! 	 0.02173913043478261 
 M 	 ^ 	 0.02173913043478261 
 M 	 U 	 0.02173913043478261 
 M 	 P 	 0.02173913043478261 
 M 	 Y 	 0.02173913043478261 
 M 	 # 	 0.02173913043478261 
 M 	 STOP 	 0.02173913043478261 
 Y 	 D 	 0.3055555555555556 
 Y 	 @ 	 0.027777777777777783 
 Y 	 , 	 0.027777777777777783 
 Y 	 L 	 0.027777777777777783 
 Y 	 ~ 	 0.027777777777777783 
 Y 	 & 	 0.027777777777777783 
 Y 	 S 	 0.027777777777777783 
 Y 	 N 	 0.027777777777777783 
 Y 	 A 	 0.027777777777777783 
 Y 	 G 	 0.027777777777777783 
 Y 	 $ 	 0.027777777777777783 
 Y 	 V 	 0.027777777777777783 
 Y 	 R 	 0.027777777777777783 
 Y 	 X 	 0.027777777777777783 
 Y 	 E 	 0.027777777777777783 
 Y 	 T 	 0.027777777777777783 
 Y 	 M 	 0.027777777777777783 
 Y 	 O 	 0.027777777777777783 
 Y 	 Z 	 0.027777777777777783 
 Y 	 ! 	 0.027777777777777783 
 Y 	 ^ 	 0.027777777777777783 
 Y 	 U 	 0.027777777777777783 
 Y 	 P 	 0.027777777777777783 
 Y 	 Y 	 0.027777777777777783 
 Y 	 # 	 0.027777777777777783 
 Y 	 STOP 	 0.027777777777777783 
 
